shrinkage,raw_RMSE_mm,raw_MAE_mm,raw_monotonic_violations,projected_RMSE_mm,projected_MAE_mm,projected_monotonic_violations,RMSE_mm,MAE_mm,monotonic_violations,within_5pct_best
0.8,2.1249219686479064,1.0535416942736855,2184,2.2343122816313574,1.451204610360528,0,2.2343122816313574,1.451204610360528,0,True
1.0,2.142192551430446,0.8598399256048337,2384,2.470361051027519,1.5479419935379823,0,2.470361051027519,1.5479419935379823,0,False
0.65,2.4949997690075967,1.3744210306377278,2017,2.50617141706771,1.6239507195157938,0,2.50617141706771,1.6239507195157938,0,False
0.5,3.073697008386155,1.7846299025789492,1814,3.0578756543524888,1.912268003690182,0,3.0578756543524888,1.912268003690182,0,False
0.35,3.7660405904457006,2.232814267682633,1562,3.754213552900661,2.2693070691442423,0,3.754213552900661,2.2693070691442423,0,False
0.2,4.5201072040291015,2.7127779582698555,1054,4.513041129782883,2.6905034028377397,0,4.513041129782883,2.6905034028377397,0,False
0.0,5.578152190991167,3.388672720618568,0,5.578152190991167,3.388672720618568,0,5.578152190991167,3.388672720618568,0,False
