stage,start,end,duration_h,displacement_start,displacement_end,avg_velocity,model,degree,coefficients,rmse,r2,bic,start_time,end_time
1,1,8107,1351.0,0.059,353.843,0.2618682457438934,degree_3_polynomial,3,-4.518745169e-09;0.0001905685794;0.0115408401;0.6102221256,0.5781681585532503,0.999969664307472,-8847.49497271273,2024-05-04 00:00:00.000000000,2024-06-29 07:00:00.000000000
2,8108,9500,232.0,353.923,785.13,1.8586508620689655,degree_2_polynomial,2,0.004960963363;0.7072875373;354.0900151,0.4729393583730092,0.9999859393914914,-2064.406015912069,2024-06-29 07:10:00.000000001,2024-07-08 23:10:00.000000001
3,9501,10000,83.16666666666667,785.711,1304.153,6.233771543086172,degree_3_polynomial,3,-0.000455772247;0.0752286539;3.098813401;784.4583683,1.4218415370542252,0.9999181185931277,376.8113208944832,2024-07-08 23:19:59.999999998,2024-07-12 10:30:00.000000000
