dropped_variable,gbdt_stability_rank,elasticnet_stability_rank,model_rank_gap,consensus_rank_score,gbdt_displacement_RMSE,elasticnet_displacement_RMSE,interpretation
干湿入渗系数,2.0,9.0,7.0,4.45,21.89902309189768,180.65510959341037,两类模型存在排序差异，需结合阶段非线性拟合和工程机理解释。
单段最大药量_kg,5.0,6.0,1.0,5.35,27.398652921600853,155.95422250862438,两类模型排序接近，变量组合结论稳定。
爆破点距离_m,7.0,4.0,3.0,5.949999999999999,29.951304372215144,155.95236570819878,两类模型存在排序差异，需结合阶段非线性拟合和工程机理解释。
降雨量_mm,6.0,9.0,3.0,7.050000000000001,25.714230785880613,181.38771797708813,两类模型存在排序差异，需结合阶段非线性拟合和工程机理解释。
孔隙水压力_kPa,10.0,2.0,8.0,7.2,94.22144207987762,101.5888305888126,两类模型存在排序差异，需结合阶段非线性拟合和工程机理解释。
微震事件数,12.0,12.0,0.0,12.0,215.13664218320736,247.0176638680772,两类模型排序接近，变量组合结论稳定。
