method,window_h,break1_serial,break2_serial,break1_time,break2_time,objective_sse
velocity_level,3.0,8466,9501,2024-07-01 18:49:59.999999998,2024-07-08 23:19:59.999999998,1626.8117642685897
velocity_level,6.0,8473,9501,2024-07-01 20:00:00.000000000,2024-07-08 23:19:59.999999998,1645.6270928674994
velocity_level,12.0,8490,9501,2024-07-01 22:49:59.999999998,2024-07-08 23:19:59.999999998,1719.5519727834808
displacement_piecewise_linear,0.0,5290,8871,2024-06-09 17:30:00.000000000,2024-07-04 14:19:59.999999998,5357560.559145801
