model,beta0,beta1,train_RMSE,train_MAE,train_P95AE,cv_RMSE,cv_MAE,cv_P95AE,cv_MaxAE
Huber,-0.5264191029146952,0.8817318129961559,2.6849299609061585,1.289238567581512,7.201309106025028,2.6842867357579947,1.2894880059115161,7.218544043929398,9.143230431946415
RANSAC,-0.4498562427559136,0.8812554665731631,2.6830939280986104,1.2935464494782407,7.221486929772266,2.683094909721304,1.2995427214771917,7.19732220968243,9.117317696295604
OLS,-0.3697405931616925,0.880710173951983,2.6823205095524196,1.308078007287582,7.2074538328598114,2.685182936996257,1.3367965524451013,7.186041046130628,9.102279437517328
Theil-Sen,-0.38049757909638515,0.8817264550015612,2.690932161303112,1.3195688310688398,7.239596370141613,3.9317470719459733,2.787061129565615,8.567403084437547,10.866924130985755
