delta_scale,beta0,beta1,train_MAE,cv_RMSE,cv_MAE,cv_P95AE,cv_MaxAE
1.0,-0.5294405836463719,0.8817488722431823,1.2892236093702547,2.684373401672103,1.2894234248950769,7.218838222105241,9.143883113376244
1.2,-0.5279102326148556,0.8817401870652043,1.2892300549630684,2.6843290012943926,1.2894536716932339,7.218726122037408,9.14357666533111
1.345,-0.5264191029146952,0.8817318129961559,1.289238567581512,2.6842867357579947,1.2894880059115161,7.218544043929398,9.143230431946415
1.6,-0.5235770925607816,0.8817151475872654,1.2892623735637865,2.6842022168255673,1.2895717018020953,7.218336636246898,9.14233596092422
2.0,-0.5187990493573429,0.8816869807532575,1.2893244498764733,2.6840645566283685,1.2897613269030042,7.218374706199964,9.14064613128264
