stage,start,end,duration_h,displacement_start,displacement_end,avg_velocity,model,degree,coefficients,rmse,r2,bic,start_time,end_time
1,1,8472,1411.8333333333333,0.059,415.171,0.2940233738637705,degree_3_polynomial,3,1.953851317e-08;0.0001475314187;0.03150217391;-1.241071486,2.6398971576555748,0.9994778424469012,16484.395986156145,2024-05-04 00:00:00.000000000,2024-07-01 19:49:59.999999998
2,8473,9500,171.16666666666666,415.439,785.13,2.1598305744888022,degree_2_polynomial,2,0.00496363121;1.310411339;415.4884042,0.42195115796576144,0.9999845604301518,-1753.2457906055818,2024-07-01 20:00:00.000000000,2024-07-08 23:10:00.000000001
3,9501,10000,83.16666666666667,785.711,1304.153,6.233771543086172,degree_3_polynomial,3,-0.000455772247;0.0752286539;3.098813401;784.4583683,1.4218415370542252,0.9999181185931277,376.8113208944832,2024-07-08 23:19:59.999999998,2024-07-12 10:30:00.000000000
