variables,dropped_variable,feature_count,elasticnet_velocity_RMSE,elasticnet_velocity_MAE,elasticnet_displacement_RMSE,elasticnet_block_end_abs_error,gbdt_velocity_RMSE,gbdt_velocity_MAE,gbdt_displacement_RMSE,gbdt_block_end_abs_error,gbdt_rank_score,elasticnet_rank_score
降雨量_mm+孔隙水压力_kPa+微震事件数+爆破点距离_m+单段最大药量_kg,干湿入渗系数,23,3.063269907210986,2.245060240073241,180.65510959341037,287.0376885045158,2.599777635116114,1.7878699689376067,21.89902309189768,22.312097603548114,1.3,5.5
孔隙水压力_kPa+微震事件数+干湿入渗系数+爆破点距离_m+单段最大药量_kg,降雨量_mm,21,3.058811784910948,2.2562434888702234,181.38771797708813,269.482705458538,2.6071319254826975,1.793939422972589,25.714230785880613,26.524709097997356,3.2,6.2
降雨量_mm+孔隙水压力_kPa+微震事件数+干湿入渗系数+爆破点距离_m,单段最大药量_kg,22,3.014566499047793,2.206859843806744,155.95422250862438,233.7998702097184,2.6047597667715316,1.791348917198908,27.398652921600853,28.821877363589728,3.6,3.9
降雨量_mm+孔隙水压力_kPa+微震事件数+干湿入渗系数+单段最大药量_kg,爆破点距离_m,21,3.0142475501651984,2.206181186753306,155.95236570819878,233.83632654633675,2.605291320168379,1.7943534934004564,29.951304372215144,33.80956341569902,4.9,2.6
降雨量_mm+微震事件数+干湿入渗系数+爆破点距离_m+单段最大药量_kg,孔隙水压力_kPa,22,2.933598109430865,2.113498293027801,101.58883058881261,145.5702857729446,2.8632530105371585,2.037864610534061,94.22144207987762,111.4770510399263,6.5,1.3
降雨量_mm+孔隙水压力_kPa+干湿入渗系数+爆破点距离_m+单段最大药量_kg,微震事件数,22,3.6382867525683764,2.724232190189938,247.01766386807722,333.7356003599548,3.827254179974571,2.7846996862160918,215.13664218320736,337.13399982010964,7.8,7.8
