stage,start,end,duration_h,displacement_start,displacement_end,avg_velocity,model,degree,coefficients,rmse,r2,bic
1,1,6395,1065.6666666666667,0.372,20.006,0.01842414763841101,degree_3_polynomial,3,3.429266118e-08;-4.45941184e-05;0.02595514987;-0.04207168804,0.4661677210387474,0.9884379922339496,-9726.400168411084
2,6396,8853,409.5,28.798,86.915,0.14192185592185594,degree_3_polynomial,3,4.252058379e-06;-0.002385449934;0.3979349614;18.06116018,2.5002009387256297,0.9375748348233858,4536.108761085559
3,8854,10000,191.0,87.237,654.69,2.9709581151832465,degree_3_polynomial,3,-5.579261684e-05;0.01747003266;1.660087825;80.76586152,19.009909586699585,0.9883158064590677,6783.918778980326
